ts,rf_top_class,ssc_state,ssc_intent,hard_stop,soft_bypass,nav_mode,final_action,cam_ok_count,cam_expected,dist_m,label,expected,decision_ok
1772139657.716,object hazards,Bypass,Bypass,0,0,GO_HOME,CLIP:CURL_UP:CURL,1,1,,object_hazard,GO_HOME,1
1772139658.259,object hazards,Bypass,Bypass,0,0,GO_HOME,CLIP:CURL_UP:CURL,1,1,1.581,object_hazard,GO_HOME,1
1772139658.623,object hazards,Bypass,Bypass,0,0,GO_HOME,CLIP:CURL_UP:CURL,1,1,1.597,object_hazard,GO_HOME,1
1772139658.935,object hazards,Bypass,Bypass,0,0,GO_HOME,CLIP:CURL_UP:CURL,1,1,1.573,object_hazard,GO_HOME,1
1772139659.181,object hazards,Bypass,Bypass,0,0,GO_HOME,CLIP:CURL_UP:CURL,1,1,1.573,object_hazard,GO_HOME,1
1772139659.423,object hazards,Bypass,Bypass,0,0,GO_HOME,CLIP:CURL_UP:TUCK,1,1,1.582,object_hazard,GO_HOME,1
1772139659.655,object hazards,Bypass,Bypass,0,0,GO_HOME,CLIP:CURL_UP:TUCK,1,1,1.582,object_hazard,GO_HOME,1
1772139659.899,object hazards,Bypass,Bypass,0,0,GO_HOME,CLIP:CURL_UP:TUCK,1,1,1.582,object_hazard,GO_HOME,1
1772139660.122,object hazards,Bypass,Bypass,0,0,GO_HOME,CLIP:CURL_UP:TUCK,1,1,1.582,object_hazard,GO_HOME,1
1772139660.354,,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:CURL_UP:TUCK,1,1,1.582,unknown,NO_REQUIREMENT,1
1772139660.579,object hazards,Bypass,Bypass,0,0,GO_HOME,CLIP:CURL_UP:CURL_UP_DONE,1,1,1.582,object_hazard,GO_HOME,1
1772139660.806,object hazards,Bypass,Bypass,0,0,GO_HOME,CLIP:CURL_UP:IDLE,1,1,1.582,object_hazard,GO_HOME,1
1772139661.042,human hazard,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:CURL_UP:IDLE,1,1,1.582,human_hazard,SEARCH_ROUTE,1
1772139661.274,object hazards,Bypass,Bypass,0,0,GO_HOME,CLIP:CURL_UP:IDLE,1,1,1.582,object_hazard,GO_HOME,1
1772139661.527,human hazard,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:CURL_UP:IDLE,1,1,1.582,human_hazard,SEARCH_ROUTE,1
1772139661.793,object hazards,Bypass,Bypass,0,0,GO_HOME,CLIP:CURL_UP:CURL,1,1,1.595,object_hazard,GO_HOME,1
1772139662.048,human hazard,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:CURL_UP:CURL,1,1,1.577,human_hazard,SEARCH_ROUTE,1
1772139662.311,object hazards,Bypass,Bypass,0,0,GO_HOME,CLIP:CURL_UP:CURL,1,1,1.589,object_hazard,GO_HOME,1
1772139662.579,object hazards,Bypass,Bypass,0,0,GO_HOME,CLIP:CURL_UP:CURL,1,1,1.566,object_hazard,GO_HOME,1
1772139662.855,object hazards,Bypass,Bypass,0,0,GO_HOME,CLIP:CURL_UP:CURL,1,1,1.579,object_hazard,GO_HOME,1
1772139663.132,human hazard,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:CURL_UP:TUCK,1,1,1.579,human_hazard,SEARCH_ROUTE,1
1772139663.387,human hazard,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:CURL_UP:TUCK,1,1,1.575,human_hazard,SEARCH_ROUTE,1
1772139663.681,human hazard,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:CURL_UP:TUCK,1,1,1.564,human_hazard,SEARCH_ROUTE,1
1772139663.989,human hazard,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:CURL_UP:TUCK,1,1,1.589,human_hazard,SEARCH_ROUTE,1
1772139664.254,human hazard,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:CURL_UP:CURL_UP_DONE,1,1,1.585,human_hazard,SEARCH_ROUTE,1
1772139664.540,human hazard,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:CURL_UP:IDLE,1,1,1.567,human_hazard,SEARCH_ROUTE,1
1772139664.803,human hazard,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:CURL_UP:IDLE,1,1,1.584,human_hazard,SEARCH_ROUTE,1
1772139665.069,human hazard,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:CURL_UP:IDLE,1,1,1.587,human_hazard,SEARCH_ROUTE,1
1772139665.334,human hazard,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:CURL_UP:IDLE,1,1,1.569,human_hazard,SEARCH_ROUTE,1
1772139665.601,human hazard,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:CURL_UP:IDLE,1,1,1.566,human_hazard,SEARCH_ROUTE,1
1772139665.880,human hazard,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:DUMP_RETREAT:DUMP,1,1,1.564,human_hazard,SEARCH_ROUTE,1
1772139666.143,human hazard,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:DUMP_RETREAT:DUMP,1,1,1.563,human_hazard,SEARCH_ROUTE,1
1772139666.371,human hazard,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:DUMP_RETREAT:DUMP,1,1,1.563,human_hazard,SEARCH_ROUTE,1
1772139666.615,human hazard,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:DUMP_RETREAT:DUMP,1,1,1.563,human_hazard,SEARCH_ROUTE,1
1772139666.875,human hazard,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:DUMP_RETREAT:DUMP,1,1,1.563,human_hazard,SEARCH_ROUTE,1
1772139667.109,human hazard,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:DUMP_RETREAT:TUCK,1,1,1.563,human_hazard,SEARCH_ROUTE,1
1772139667.365,human hazard,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:DUMP_RETREAT:TUCK,1,1,1.563,human_hazard,SEARCH_ROUTE,1
1772139667.609,human hazard,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:DUMP_RETREAT:TUCK,1,1,1.563,human_hazard,SEARCH_ROUTE,1
1772139667.853,human hazard,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:DUMP_RETREAT:TUCK,1,1,1.563,human_hazard,SEARCH_ROUTE,1
1772139668.081,human hazard,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:DUMP_RETREAT:TUCK,1,1,1.563,human_hazard,SEARCH_ROUTE,1
1772139668.327,human hazard,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:DUMP_RETREAT:DUMP_RETREAT_DONE,1,1,1.563,human_hazard,SEARCH_ROUTE,1
1772139668.613,human hazard,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:DUMP_RETREAT:IDLE,1,1,1.569,human_hazard,SEARCH_ROUTE,1
1772139668.889,human hazard,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:DUMP_RETREAT:IDLE,1,1,1.584,human_hazard,SEARCH_ROUTE,1
1772139669.174,object hazards,Bypass,Bypass,0,0,GO_HOME,CLIP:DUMP_RETREAT:IDLE,1,1,1.571,object_hazard,GO_HOME,1
1772139669.524,human hazard,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:DUMP_RETREAT:IDLE,1,1,1.564,human_hazard,SEARCH_ROUTE,1
1772139669.811,human hazard,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:DUMP_RETREAT:IDLE,1,1,1.560,human_hazard,SEARCH_ROUTE,1
1772139670.092,human hazard,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:DUMP_RETREAT:DUMP,1,1,1.576,human_hazard,SEARCH_ROUTE,1
1772139670.346,human hazard,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:DUMP_RETREAT:DUMP,1,1,1.576,human_hazard,SEARCH_ROUTE,1
1772139670.607,human hazard,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:DUMP_RETREAT:DUMP,1,1,1.576,human_hazard,SEARCH_ROUTE,1
1772139670.871,human hazard,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:DUMP_RETREAT:DUMP,1,1,1.576,human_hazard,SEARCH_ROUTE,1
1772139671.122,human hazard,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:DUMP_RETREAT:DUMP,1,1,1.576,human_hazard,SEARCH_ROUTE,1
1772139671.380,human hazard,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:DUMP_RETREAT:TUCK,1,1,1.576,human_hazard,SEARCH_ROUTE,1
1772139671.641,human hazard,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:DUMP_RETREAT:TUCK,1,1,1.576,human_hazard,SEARCH_ROUTE,1
1772139671.892,human hazard,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:DUMP_RETREAT:TUCK,1,1,1.576,human_hazard,SEARCH_ROUTE,1
1772139672.116,human hazard,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:DUMP_RETREAT:TUCK,1,1,1.576,human_hazard,SEARCH_ROUTE,1
1772139672.372,human hazard,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:DUMP_RETREAT:TUCK,1,1,1.571,human_hazard,SEARCH_ROUTE,1
1772139672.630,human hazard,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:DUMP_RETREAT:DUMP_RETREAT_DONE,1,1,1.569,human_hazard,SEARCH_ROUTE,1
1772139672.870,human hazard,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:DUMP_RETREAT:IDLE,1,1,1.569,human_hazard,SEARCH_ROUTE,1
1772139673.145,human hazard,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:DUMP_RETREAT:IDLE,1,1,1.561,human_hazard,SEARCH_ROUTE,1
1772139673.412,human hazard,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:DUMP_RETREAT:IDLE,1,1,1.570,human_hazard,SEARCH_ROUTE,1
1772139673.693,human hazard,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:DUMP_RETREAT:IDLE,1,1,1.556,human_hazard,SEARCH_ROUTE,1
1772139673.963,human hazard,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:DUMP_RETREAT:IDLE,1,1,1.575,human_hazard,SEARCH_ROUTE,1
1772139674.245,human hazard,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:DUMP_RETREAT:DUMP,1,1,1.578,human_hazard,SEARCH_ROUTE,1
1772139674.515,human hazard,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:DUMP_RETREAT:DUMP,1,1,1.558,human_hazard,SEARCH_ROUTE,1
1772139674.781,human hazard,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:DUMP_RETREAT:DUMP,1,1,1.577,human_hazard,SEARCH_ROUTE,1
1772139675.049,human hazard,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:DUMP_RETREAT:DUMP,1,1,1.580,human_hazard,SEARCH_ROUTE,1
1772139675.328,human hazard,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:DUMP_RETREAT:DUMP,1,1,1.560,human_hazard,SEARCH_ROUTE,1
1772139675.617,human hazard,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:DUMP_RETREAT:TUCK,1,1,1.562,human_hazard,SEARCH_ROUTE,1
1772139675.889,human hazard,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:DUMP_RETREAT:TUCK,1,1,1.577,human_hazard,SEARCH_ROUTE,1
1772139676.182,human hazard,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:DUMP_RETREAT:TUCK,1,1,1.580,human_hazard,SEARCH_ROUTE,1
1772139676.497,human hazard,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:DUMP_RETREAT:TUCK,1,1,1.567,human_hazard,SEARCH_ROUTE,1
1772139676.778,human hazard,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:DUMP_RETREAT:DUMP_RETREAT_DONE,1,1,1.562,human_hazard,SEARCH_ROUTE,1
1772139677.086,human hazard,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:DUMP_RETREAT:IDLE,1,1,1.575,human_hazard,SEARCH_ROUTE,1
