ts,rf_top_class,ssc_state,ssc_intent,hard_stop,soft_bypass,nav_mode,final_action,cam_ok_count,cam_expected,dist_m,label,expected,decision_ok
1772076053.851,harvestable,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:SCOOP_DUMP:APPROACH_POSE,1,1,,harvestable,APPROACH_OR_HARVEST,1
1772076054.232,harvestable,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:SCOOP_DUMP:APPROACH_POSE,1,1,,harvestable,APPROACH_OR_HARVEST,1
1772076054.581,Bypass,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:SCOOP_DUMP:APPROACH_POSE,1,1,,bypass,SEARCH_ROUTE,1
1772076054.871,harvestable,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:SCOOP_DUMP:APPROACH_POSE,1,1,0.896,harvestable,APPROACH_OR_HARVEST,1
1772076055.140,harvestable,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:SCOOP_DUMP:SCOOP,1,1,0.896,harvestable,APPROACH_OR_HARVEST,1
1772076055.445,harvestable,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:SCOOP_DUMP:SCOOP,1,1,0.894,harvestable,APPROACH_OR_HARVEST,1
1772076055.717,harvestable,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:SCOOP_DUMP:SCOOP,1,1,0.895,harvestable,APPROACH_OR_HARVEST,1
1772076056.052,harvestable,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:SCOOP_DUMP:SCOOP,1,1,0.896,harvestable,APPROACH_OR_HARVEST,1
1772076056.341,harvestable,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:SCOOP_DUMP:SCOOP,1,1,0.895,harvestable,APPROACH_OR_HARVEST,1
1772076056.621,harvestable,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:SCOOP_DUMP:LIFT,1,1,0.897,harvestable,APPROACH_OR_HARVEST,1
1772076056.881,harvestable,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:SCOOP_DUMP:LIFT,1,1,0.895,harvestable,APPROACH_OR_HARVEST,1
1772076057.172,harvestable,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:SCOOP_DUMP:LIFT,1,1,0.895,harvestable,APPROACH_OR_HARVEST,1
1772076057.445,harvestable,Bypass,Bypass,0,0,SEARCH_ROUTE,CLIP:SCOOP_DUMP:LIFT,1,1,0.895,harvestable,APPROACH_OR_HARVEST,1
