epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.52164,0.72645,0.59091,1,0.75243,5.001e-05,5.001e-05,5.001e-05
2,5.0693,0.67194,0.54545,1,0.65795,0.000112839,0.000112839,0.000112839
3,7.53914,0.5582,0.77273,1,0.55175,0.000171268,0.000171268,0.000171268
4,9.94908,0.51145,0.77273,1,0.47102,0.000225295,0.000225295,0.000225295
5,12.2783,0.38232,0.86364,1,0.3737,0.000274922,0.000274922,0.000274922
6,14.5887,0.30951,0.90909,1,0.29111,0.000320147,0.000320147,0.000320147
7,16.8585,0.24047,0.90909,1,0.22507,0.000360972,0.000360972,0.000360972
8,19.3667,0.15009,0.90909,1,0.18214,0.000397396,0.000397396,0.000397396
9,21.8709,0.16365,0.90909,1,0.16515,0.000429419,0.000429419,0.000429419
10,24.2991,0.11074,0.90909,1,0.20851,0.000457041,0.000457041,0.000457041
11,26.7143,0.1157,0.90909,1,0.21531,0.000480263,0.000480263,0.000480263
12,29.1428,0.0605,0.90909,1,0.24616,0.000499083,0.000499083,0.000499083
13,31.4957,0.12348,0.90909,1,0.21229,0.000513503,0.000513503,0.000513503
14,33.9015,0.15219,0.90909,1,0.19213,0.000523521,0.000523521,0.000523521
15,36.3709,0.07139,0.90909,1,0.15173,0.000529139,0.000529139,0.000529139
16,38.7305,0.08503,0.90909,1,0.12772,0.000530356,0.000530356,0.000530356
