stage,class,filename,rock_type,mineral
train,igneous,202Andesite.png,igneous,andesite
train,igneous,61Andesite.png,igneous,andesite
train,igneous,19Andesite.png,igneous,andesite
train,igneous,219Andesite.png,igneous,andesite
train,igneous,58Andesite.png,igneous,andesite
train,igneous,40Andesite.png,igneous,andesite
train,igneous,27Andesite.png,igneous,andesite
train,igneous,45Andesite.png,igneous,andesite
train,igneous,23Andesite.png,igneous,andesite
train,igneous,Andesite2.png,igneous,andesite
train,igneous,54Andesite.png,igneous,andesite
train,igneous,36Andesite.png,igneous,andesite
train,igneous,224Andesite.png,igneous,andesite
train,igneous,166Andesite.png,igneous,andesite
train,igneous,141Andesite.png,igneous,andesite
train,igneous,117Andesite.png,igneous,andesite
train,igneous,149Andesite.png,igneous,andesite
train,igneous,Andesite21.png,igneous,andesite
train,igneous,Andesite23.png,igneous,andesite
train,igneous,Andesite4.png,igneous,andesite
train,igneous,126Andesite.png,igneous,andesite
train,igneous,47Andesite.png,igneous,andesite
train,igneous,207Andesite.png,igneous,andesite
train,igneous,15Andesite.png,igneous,andesite
train,igneous,192Andesite.png,igneous,andesite
train,igneous,137Andesite.png,igneous,andesite
train,igneous,25Andesite.png,igneous,andesite
train,igneous,75Andesite.png,igneous,andesite
train,igneous,225Andesite.png,igneous,andesite
train,igneous,127Andesite.png,igneous,andesite
train,igneous,62Andesite.png,igneous,andesite
train,igneous,128Andesite.png,igneous,andesite
train,igneous,130Andesite.png,igneous,andesite
train,igneous,Andesite12.png,igneous,andesite
train,igneous,168Andesite.png,igneous,andesite
train,igneous,196Andesite.png,igneous,andesite
train,igneous,29Andesite.png,igneous,andesite
train,igneous,Andesite22.png,igneous,andesite
train,igneous,181Andesite.png,igneous,andesite
train,igneous,201Andesite.png,igneous,andesite
train,igneous,231Andesite.png,igneous,andesite
train,igneous,228Andesite.png,igneous,andesite
train,igneous,125Andesite.png,igneous,andesite
train,igneous,111Andesite.png,igneous,andesite
train,igneous,180Andesite.png,igneous,andesite
train,igneous,179Andesite.png,igneous,andesite
train,igneous,260Andesite.png,igneous,andesite
train,igneous,Andesite20.png,igneous,andesite
train,igneous,183Andesite.png,igneous,andesite
train,igneous,163Andesite.png,igneous,andesite
train,igneous,41Andesite.png,igneous,andesite
train,igneous,134Andesite.png,igneous,andesite
train,igneous,138Andesite.png,igneous,andesite
train,igneous,161Andesite.png,igneous,andesite
train,igneous,239Andesite.png,igneous,andesite
train,igneous,160Andesite.png,igneous,andesite
train,igneous,220Andesite.png,igneous,andesite
train,igneous,235Andesite.png,igneous,andesite
train,igneous,Andesite17.png,igneous,andesite
train,igneous,67Andesite.png,igneous,andesite
train,igneous,268Andesite.png,igneous,andesite
train,igneous,42Andesite.png,igneous,andesite
train,igneous,206Andesite.png,igneous,andesite
train,igneous,143Andesite.png,igneous,andesite
train,igneous,229Andesite.png,igneous,andesite
train,igneous,100Andesite.png,igneous,andesite
train,igneous,5Andesite.png,igneous,andesite
train,igneous,91Andesite.png,igneous,andesite
train,igneous,266Andesite.png,igneous,andesite
train,igneous,199Andesite.png,igneous,andesite
train,igneous,73Andesite.png,igneous,andesite
train,igneous,139Andesite.png,igneous,andesite
train,igneous,88Andesite.png,igneous,andesite
train,igneous,211Andesite.png,igneous,andesite
train,igneous,63Andesite.png,igneous,andesite
train,igneous,87Andesite.png,igneous,andesite
train,igneous,22Andesite.png,igneous,andesite
train,igneous,241Andesite.png,igneous,andesite
train,igneous,44Andesite.png,igneous,andesite
train,igneous,214Andesite.png,igneous,andesite
train,igneous,182Andesite.png,igneous,andesite
train,igneous,221Andesite.png,igneous,andesite
train,igneous,83Andesite.png,igneous,andesite
train,igneous,164Andesite.png,igneous,andesite
train,igneous,185Andesite.png,igneous,andesite
train,igneous,162Andesite.png,igneous,andesite
train,igneous,16Andesite.png,igneous,andesite
train,igneous,53Andesite.png,igneous,andesite
train,igneous,71Andesite.png,igneous,andesite
train,igneous,Andesite19.png,igneous,andesite
train,igneous,89Andesite.png,igneous,andesite
train,igneous,Andesite7.png,igneous,andesite
train,igneous,26Andesite.png,igneous,andesite
train,igneous,118Andesite.png,igneous,andesite
train,igneous,72Andesite.png,igneous,andesite
train,igneous,76Andesite.png,igneous,andesite
train,igneous,171Andesite.png,igneous,andesite
train,igneous,60Andesite.png,igneous,andesite
train,igneous,95Andesite.png,igneous,andesite
train,igneous,234Andesite.png,igneous,andesite
train,igneous,Andesite27.png,igneous,andesite
train,igneous,Andesite26.png,igneous,andesite
train,igneous,144Andesite.png,igneous,andesite
train,igneous,146Andesite.png,igneous,andesite
train,igneous,230Andesite.png,igneous,andesite
train,igneous,77Andesite.png,igneous,andesite
train,igneous,96Andesite.png,igneous,andesite
train,igneous,191Andesite.png,igneous,andesite
train,igneous,7Andesite.png,igneous,andesite
train,igneous,210Andesite.png,igneous,andesite
train,igneous,247Andesite.png,igneous,andesite
train,igneous,152Andesite.png,igneous,andesite
train,igneous,243Andesite.png,igneous,andesite
train,igneous,223Andesite.png,igneous,andesite
train,igneous,257Andesite.png,igneous,andesite
train,igneous,20Andesite.png,igneous,andesite
train,igneous,70Andesite.png,igneous,andesite
train,igneous,Andesite13.png,igneous,andesite
train,igneous,216Andesite.png,igneous,andesite
train,igneous,269Andesite.png,igneous,andesite
train,igneous,123Andesite.png,igneous,andesite
train,igneous,39Andesite.png,igneous,andesite
train,igneous,11Andesite.png,igneous,andesite
train,igneous,136Andesite.png,igneous,andesite
train,igneous,28Andesite.png,igneous,andesite
train,igneous,184Andesite.png,igneous,andesite
train,igneous,84Andesite.png,igneous,andesite
train,igneous,56Andesite.png,igneous,andesite
train,igneous,78Andesite.png,igneous,andesite
train,igneous,232Andesite.png,igneous,andesite
train,igneous,4Andesite.png,igneous,andesite
train,igneous,121Andesite.png,igneous,andesite
train,igneous,Andesite18.png,igneous,andesite
train,igneous,31Andesite.png,igneous,andesite
train,igneous,133Andesite.png,igneous,andesite
train,igneous,236Andesite.png,igneous,andesite
train,igneous,Andesite16.png,igneous,andesite
train,igneous,64Andesite.png,igneous,andesite
train,igneous,215Andesite.png,igneous,andesite
train,igneous,81Andesite.png,igneous,andesite
train,igneous,101Andesite.png,igneous,andesite
train,igneous,80Andesite.png,igneous,andesite
train,igneous,Andesite24.png,igneous,andesite
train,igneous,175Andesite.png,igneous,andesite
train,igneous,264Andesite.png,igneous,andesite
train,igneous,6Andesite.png,igneous,andesite
train,igneous,82Andesite.png,igneous,andesite
train,igneous,158Andesite.png,igneous,andesite
train,igneous,112Andesite.png,igneous,andesite
train,igneous,227Andesite.png,igneous,andesite
train,igneous,255Andesite.png,igneous,andesite
train,igneous,Andesite5.png,igneous,andesite
train,igneous,17Andesite.png,igneous,andesite
train,igneous,48Andesite.png,igneous,andesite
train,igneous,153Andesite.png,igneous,andesite
train,igneous,106Andesite.png,igneous,andesite
train,igneous,167Andesite.png,igneous,andesite
train,igneous,99Andesite.png,igneous,andesite
train,igneous,222Andesite.png,igneous,andesite
train,igneous,10Andesite.png,igneous,andesite
train,igneous,46Andesite.png,igneous,andesite
train,igneous,79Andesite.png,igneous,andesite
train,igneous,51Andesite.png,igneous,andesite
train,igneous,177Andesite.png,igneous,andesite
train,igneous,204Andesite.png,igneous,andesite
train,igneous,97Andesite.png,igneous,andesite
train,igneous,Andesite9.png,igneous,andesite
train,igneous,109Andesite.png,igneous,andesite
train,igneous,250Andesite.png,igneous,andesite
train,igneous,148Andesite.png,igneous,andesite
train,igneous,188Andesite.png,igneous,andesite
train,igneous,135Andesite.png,igneous,andesite
train,igneous,147Andesite.png,igneous,andesite
train,igneous,169Andesite.png,igneous,andesite
train,igneous,68Andesite.png,igneous,andesite
train,igneous,187Andesite.png,igneous,andesite
train,igneous,132Andesite.png,igneous,andesite
train,igneous,114Andesite.png,igneous,andesite
train,igneous,119Andesite.png,igneous,andesite
train,igneous,245Andesite.png,igneous,andesite
train,igneous,157Andesite.png,igneous,andesite
train,igneous,94Andesite.png,igneous,andesite
train,igneous,155Andesite.png,igneous,andesite
train,igneous,172Andesite.png,igneous,andesite
train,igneous,129Andesite.png,igneous,andesite
train,igneous,244Andesite.png,igneous,andesite
train,igneous,105Andesite.png,igneous,andesite
train,igneous,33Andesite.png,igneous,andesite
train,igneous,86Andesite.png,igneous,andesite
train,igneous,265Andesite.png,igneous,andesite
train,igneous,238Andesite.png,igneous,andesite
train,igneous,218Andesite.png,igneous,andesite
train,igneous,154Andesite.png,igneous,andesite
train,igneous,30Andesite.png,igneous,andesite
train,igneous,24Andesite.png,igneous,andesite
train,igneous,21Andesite.png,igneous,andesite
train,igneous,9Andesite.png,igneous,andesite
train,igneous,205Andesite.png,igneous,andesite
train,igneous,237Andesite.png,igneous,andesite
train,igneous,242Andesite.png,igneous,andesite
train,igneous,104Andesite.png,igneous,andesite
train,igneous,50Andesite.png,igneous,andesite
train,igneous,74Andesite.png,igneous,andesite
train,igneous,213Andesite.png,igneous,andesite
train,igneous,256Andesite.png,igneous,andesite
train,igneous,174Andesite.png,igneous,andesite
train,igneous,261Andesite.png,igneous,andesite
train,igneous,35Andesite.png,igneous,andesite
train,igneous,249Andesite.png,igneous,andesite
train,igneous,90Andesite.png,igneous,andesite
train,igneous,Andesite14.png,igneous,andesite
train,igneous,131Andesite.png,igneous,andesite
train,igneous,262Andesite.png,igneous,andesite
train,igneous,38Andesite.png,igneous,andesite
train,igneous,259Andesite.png,igneous,andesite
train,igneous,85Andesite.png,igneous,andesite
train,igneous,263Andesite.png,igneous,andesite
train,igneous,248Andesite.png,igneous,andesite
train,igneous,176Andesite.png,igneous,andesite
train,igneous,69Andesite.png,igneous,andesite
train,igneous,223Basalt.png,igneous,basalt
train,igneous,Basalt1.png,igneous,basalt
train,igneous,11Basalt.png,igneous,basalt
train,igneous,147Basalt.png,igneous,basalt
train,igneous,61Basalt.png,igneous,basalt
train,igneous,162Basalt.png,igneous,basalt
train,igneous,Basalt33.png,igneous,basalt
train,igneous,210Basalt.png,igneous,basalt
train,igneous,49Basalt.png,igneous,basalt
train,igneous,164Basalt.png,igneous,basalt
train,igneous,15Basalt.png,igneous,basalt
train,igneous,215Basalt.png,igneous,basalt
train,igneous,94Basalt.png,igneous,basalt
train,igneous,Basalt22.png,igneous,basalt
train,igneous,267Basalt.png,igneous,basalt
train,igneous,Basalt25.png,igneous,basalt
train,igneous,9Basalt.png,igneous,basalt
train,igneous,Basalt41.png,igneous,basalt
train,igneous,111Basalt.png,igneous,basalt
train,igneous,39Basalt.png,igneous,basalt
train,igneous,105Basalt.png,igneous,basalt
train,igneous,38Basalt.png,igneous,basalt
train,igneous,141Basalt.png,igneous,basalt
train,igneous,121Basalt.png,igneous,basalt
train,igneous,37Basalt.png,igneous,basalt
train,igneous,225Basalt.png,igneous,basalt
train,igneous,124Basalt.png,igneous,basalt
train,igneous,Basalt39.png,igneous,basalt
train,igneous,73Basalt.png,igneous,basalt
train,igneous,230Basalt.png,igneous,basalt
train,igneous,Basalt14.png,igneous,basalt
train,igneous,90Basalt.png,igneous,basalt
train,igneous,161Basalt.png,igneous,basalt
train,igneous,148Basalt.png,igneous,basalt
train,igneous,31Basalt.png,igneous,basalt
train,igneous,Basalt10.png,igneous,basalt
train,igneous,252Basalt.png,igneous,basalt
train,igneous,Basalt45.png,igneous,basalt
train,igneous,167Basalt.png,igneous,basalt
train,igneous,239Basalt.png,igneous,basalt
train,igneous,118Basalt.png,igneous,basalt
train,igneous,153Basalt.png,igneous,basalt
train,igneous,173Basalt.png,igneous,basalt
train,igneous,80Basalt.png,igneous,basalt
train,igneous,201Basalt.png,igneous,basalt
train,igneous,198Basalt.png,igneous,basalt
train,igneous,Basalt42.png,igneous,basalt
train,igneous,136Basalt.png,igneous,basalt
train,igneous,218Basalt.png,igneous,basalt
train,igneous,154Basalt.png,igneous,basalt
train,igneous,45Basalt.png,igneous,basalt
train,igneous,65Basalt.png,igneous,basalt
train,igneous,42Basalt.png,igneous,basalt
train,igneous,14Basalt.png,igneous,basalt
train,igneous,117Basalt.png,igneous,basalt
train,igneous,149Basalt.png,igneous,basalt
train,igneous,109Basalt.png,igneous,basalt
train,igneous,251Basalt.png,igneous,basalt
train,igneous,Basalt36.png,igneous,basalt
train,igneous,191Basalt.png,igneous,basalt
train,igneous,131Basalt.png,igneous,basalt
train,igneous,169Basalt.png,igneous,basalt
train,igneous,248Basalt.png,igneous,basalt
train,igneous,112Basalt.png,igneous,basalt
train,igneous,203Basalt.png,igneous,basalt
train,igneous,172Basalt.png,igneous,basalt
train,igneous,143Basalt.png,igneous,basalt
train,igneous,236Basalt.png,igneous,basalt
train,igneous,22Basalt.png,igneous,basalt
train,igneous,Basalt4.png,igneous,basalt
train,igneous,192Basalt.png,igneous,basalt
train,igneous,208Basalt.png,igneous,basalt
train,igneous,28Basalt.png,igneous,basalt
train,igneous,137Basalt.png,igneous,basalt
train,igneous,Basalt21.png,igneous,basalt
train,igneous,54Basalt.png,igneous,basalt
train,igneous,18Basalt.png,igneous,basalt
train,igneous,95Basalt.png,igneous,basalt
train,igneous,8Basalt.png,igneous,basalt
train,igneous,144Basalt.png,igneous,basalt
train,igneous,Basalt13.png,igneous,basalt
train,igneous,Basalt5.png,igneous,basalt
train,igneous,72Basalt.png,igneous,basalt
train,igneous,246Basalt.png,igneous,basalt
train,igneous,195Basalt.png,igneous,basalt
train,igneous,55Basalt.png,igneous,basalt
train,igneous,250Basalt.png,igneous,basalt
train,igneous,257Basalt.png,igneous,basalt
train,igneous,134Basalt.png,igneous,basalt
train,igneous,47Basalt.png,igneous,basalt
